Game Title,Genre(s),User Rating (out of 100),Year,Summary,Director,Starring,Certificate
Sengoku no ran: Ransei shissou no shou,Action,N/A%,2016.0,No information filled,unspecified,unspecified,unspecified
Minna to youkai hîrôzu,Action,N/A%,2012.0,No information filled,unspecified,unspecified,unspecified
Warfork,Action,N/A%,2019.0,No information filled,Eric Caine,"Ty Anderson, Matthew Archer, Su Ling Chan, James Holyoake",unspecified
Ah.. Moemory 3,Action,N/A%,2009.0,No information filled,unspecified,unspecified,unspecified
Michiko Jump!,Action,N/A%,2015.0,No information filled,unspecified,Akane Usami,unspecified
Space Ace,"Action, Sci-Fi",N/A%,1977.0,No information filled,unspecified,unspecified,unspecified
Re: Summon,"Action, Adventure, Fantasy",N/A%,2022.0,No information filled,unspecified,unspecified,unspecified
The Orbe of Fafnir,Action,N/A%,2016.0,No information filled,unspecified,unspecified,unspecified
Otokomizu,Action,N/A%,2019.0,No information filled,unspecified,unspecified,unspecified
Warriors All-Stars,Action,N/A%,2017.0,No information filled,unspecified,unspecified,T
Connect & Break,Action,N/A%,2017.0,No information filled,unspecified,unspecified,unspecified
London Cab Challenge,Action,N/A%,2006.0,No information filled,unspecified,unspecified,unspecified
ElectroMaster,Action,N/A%,2010.0,No information filled,unspecified,unspecified,unspecified
Intellivision Lives!,Action,N/A%,2003.0,A compilation of over sixty games that appeared on the IntelliVision game system in the early 1980s.,unspecified,unspecified,E
Vtol,Action,N/A%,1991.0,A combat flight simulator with Rookie to Expert levels.,unspecified,unspecified,unspecified
Operation Wolf 3,"Action, Adventure",54%,1994.0,"A terrorist organization called ""SKULL"" has taken control of an island and are now armed with nuclear weapons. Two government agents for the Gun Metal Army, codenamed ""Hornet"" and ""Queen Bee"" must now infiltrate the island to wipe out the terrorists and disable their nuclear missile.",unspecified,unspecified,unspecified
Network,Action,N/A%,1980.0,"This simulation invites players to experience the thrills and frustrations of being the head of Television Programming for a major network. You alone, or with another player, compete against the computer, as each controls one of the ""big three"" networks. Purchase and schedule new shows, adjust to weekly ratings, and try to recover from your mistakes at the end of each 13-week ""sweep."" The objective is to maximize your network's profit through superior ratings and shrewd judgment.",unspecified,David Mullich,unspecified
Mobile Suit Gundam: A Year of War,Action,N/A%,1993.0,No information filled,unspecified,unspecified,unspecified
Sengoku X,Action,N/A%,2014.0,No information filled,unspecified,unspecified,unspecified
Space Invaders Get Even,"Action, Sci-Fi",N/A%,2008.0,No information filled,unspecified,unspecified,unspecified
Genjuuhime,Action,N/A%,2014.0,No information filled,unspecified,unspecified,unspecified
Nice On,Action,N/A%,1980.0,No information filled,unspecified,unspecified,unspecified
Galaxibirds,Action,%,1986.0,No information filled,unspecified,unspecified,unspecified
Lead and Gold: Gangs of the Wild West,"Action, Western",55%,2010.0,No information filled,unspecified,unspecified,unspecified
Exit Fate,"Action, Adventure",N/A%,2009.0,No information filled,unspecified,SCF,unspecified
Ippai! Doubutsu koikoi,Action,N/A%,2018.0,No information filled,unspecified,unspecified,unspecified
Crime Cities,"Action, Crime, Sci-Fi",62%,2001.0,No information filled,unspecified,"Bartek Paul, Pawel Selinger, Pawel Sniezek, Boquslaw Tompol",T
Badlands,"Action, Sci-Fi, Sport",57%,1989.0,No information filled,unspecified,unspecified,unspecified
Exava,Action,N/A%,unspecified,EXAVA is an online action battle game and a spin off of AVABEL ONLINE.,unspecified,unspecified,unspecified
Age of Ishtaria,Action,N/A%,2014.0,No information filled,unspecified,unspecified,unspecified
