Game Title,Genre(s),User Rating (out of 100),Year,Summary,Director,Starring,Certificate
Wu-Tang: Shaolin Style,"Action, Adventure, Fantasy",83%,1999.0,"Martial Arts Master Xin is the guardian of the secrets of the Wu-Tang Kung Fu. The evil Mong Zhu grows jealous and decides to steal the Wu-Tang secrets, by torturing Master Xin. Members of the rap group Wu-Tang Clan receive information of Master Xin's plight and set out to rescue him.",unspecified,"Warren Burton, Ghostface Killah, The GZA, Inspectah Deck",M
Ice Age: Scrat's Nutty Adventure,"Action, Adventure",54%,2019.0,"Scrat's on a amazing quest. Sabre-tooth squirrel Scrat is on a nutty quest. His prized possession is locked inside an ancient Scratazon Temple - and the only way to get it back is to retrieve four legendary Crystal Nuts, scattered across the land.",unspecified,Chris Wedge,E
Six Days in Fallujah,"Action, War",N/A%,2021.0,"Six Days was inspired by a Marine who was badly wounded during the battle of Fallujah and wanted to make sure that everyone learned from his experiences and the experiences of the Iraqi forces that fought alongside him. This game was created with the cooperation of Marines, Iraqi soldiers and Iraqi civilians. It will include documentary-style interviews with people who were involved with the conflict.",Peter Tamte,Raresh DiMofte,unspecified
The Last Remnant,"Action, Adventure, Drama",73%,2008.0,"The game is set in a fictional world featuring a number of distinct humanoid races: the Mitras, human in appearance, the Yamas, strong fish-like people, the Qsitis, small reptilians, and the Sovanis, feline people with four arms. The world itself is broken up into multiple city-states, each with their own unique culture. The story of the game revolves around ""Remnants"", mysterious and coveted ancient artifacts of varying shapes and sizes which possess magic powers and have been the cause of several wars throughout the game's history. Each Remnant is ""bound"" to a specific person, who is the only one who can then use their power; powerful Remnants that remain unbound for too long have the potential to cause a ""collapse"" and spawn monsters. As Remnants come in varying forms, all cities throughout the world have at least one that their ruler is bound to that assist to govern and bring peace to their assigned realm.","Hiroshi Takai, Kai Gushima, Masaya Ishizuka, Jonathan Klein, Hidekazu Nakamura, Midori Shimazawa","Johnny Yong Bosch, Erika Lenhart, Jason Liebrecht, Susan Duerden",M
Red Faction: Armageddon,"Action, Sci-Fi",66%,2011.0,"With the Terraformer destroyed, Mars' inhabitants are forced underground. But when a Cultist group unleashes a hidden evil, it is up to Darius Mason to discover the truth and end Armageddon before it begins.","Keith Arem, Michael McCormick, Robert Taylor","Karen Strassman, Valerie Arem, Emerson Brooks, Gareth David-Lloyd",M
Final Fantasy IV,"Action, Adventure, Drama",78%,2007.0,Dark knight Cecil Harvey goes on a mission to retrieve lost Crystals that a man named Golbez has seemingly stolen.,"Takashi Tokita, Kazuyuki Ikumori","Yuri Lowenthal, Liam O'Brien, Caroline Macey, Doug Lee",T
Crysis Warhead,"Action, Adventure, Sci-Fi",%,2008.0,Set during the events of,Steven Bender,"Sean Chapman, Kal Weber, John Schwab, Kathryn Akin",M
The Incredibles: Rise of the Underminer,"Animation, Action, Adventure",65%,2005.0,Mr.Incredible and his buddies go against a new threat,unspecified,"Greg Ellis, Deena Freeman, Guy Hadley, Philip Lawrence",E10+
Hostile Waters: Antaeus Rising,"Action, Sci-Fi",85%,2001.0,No information filled,unspecified,"Tom Baker, Glynis Barber, Paul Darrow, Steve Brennan",M
XX Mission,"Action, Sci-Fi",N/A%,1986.0,No information filled,unspecified,unspecified,unspecified
Slime Rancher,"Action, Adventure, Fantasy",73%,2017.0,"Slime Rancher is the tale of Beatrix LeBeau, a plucky, young rancher who sets out for a life a thousand light years away from Earth on the 'Far, Far Range' where she tries her hand at making a living wrangling slimes.",unspecified,unspecified,E10+
MegaMan Powered Up,"Action, Adventure, Fantasy",73%,2006.0,A remake of the original Mega Man video game for the Playstation Portable.,Kazuki Matsue,"Cole Howard, Angie Beers, Randall Wiebe, Dean Galloway",E
The Bureau: XCOM Declassified,"Action, Adventure, Mystery",64%,2013.0,"As a covert government unit begins investigating and concealing a series of mysterious alien attacks, Special Agent William Carter must lead his squad into a covert war, defending the human race and protecting the truth.","Morgan Gray, Erik J. Caponi","Mark Hildreth, Alan Dale, Peter Jessop, Courtenay Taylor",16
Resident Evil: Outbreak - File #2,"Action, Horror, Mystery",71%,2004.0,Stand-alone expansion to,Eiichiro Sasaki,"Dee Bradley Baker, Beau Billingslea, Bob Buchholz, Wendee Lee",M
Naruto: Rise of a Ninja,Action,76%,2007.0,"Naruto: Rise of a Ninja is a fighting role-playing video game for the Xbox 360, developed by Ubisoft Montreal, following kid Naruto's adventures and missions with Squad Seven.",Liam O'Brien,"Maile Flanagan, Yuri Lowenthal, Kate Higgins, Dave Wittenberg",T
Guild Wars 2: Path of Fire,"Action, Adventure, Fantasy",85%,2017.0,"As the balance of magic comes undone, lead your allies in the hunt for the rogue god Balthazar, whose scorched-earth campaign threatens the very existence of Tyria.",Mike O'Brien,"Ike Amadi, Erin Bennett, Tim Blaney, Steve Blum",T
S.T.A.L.K.E.R.: Clear Sky,"Action, Adventure, Horror",76%,2008.0,"Set in 2011, one year prior to the events of the previous game. A group of stalkers, for the first time, reaches the very heart of the Zone-the Chernobyl Nuclear Power Plant-and triggers a cataclysm on the brink of a catastrophe.",unspecified,"Neil Kaplan, Steve Blum, Jim Ward, Anthony Pulcini",M
The Adventures of Tintin: The Secret of the Unicorn,"Action, Adventure, Comedy",68%,2011.0,A reporter named Tintin must help Captain Haddock discover the truth about his ancestor's legacy.,Jacques Exertier,"Ewan Bailey, James Barriscale, Mark Bazeley, Antony Byrne",E10+
Altered Beast,"Action, Adventure, Fantasy",66%,1988.0,"A centurion who was killed in battle is resurrected years later by Zeus who commands him to save his daughter, Athena, from Neff, an underworld Demon God who has kidnapped Athena.",unspecified,unspecified,unspecified
Ghost in the Shell: Stand Alone Complex,"Action, Adventure, Crime",83%,2004.0,"In the year 2030, Major Motoko Kusanagi must uncover the truth behind a mysterious case known only as T.A.R.",Jun'ichi Fujisaku,"Mary Elizabeth McGlynn, Richard Epcar, Sherry Lynn, Rebecca Forstadt",M
Rainbow Six 3: Raven Shield,"Action, Crime, Thriller",79%,2003.0,"The third game in the Tom Clancy's Rainbow Six series, Raven Shield once again puts you in control of the elite counter-terrorism team known as Rainbow.",Mark McCoy,"Robin Atkin Downes, Stefan Marks",M
Skate 2,"Action, Adventure, Sport",77%,2009.0,"The single-player career mode follows a skateboarder released from jail five years after being arrested in the first game, who is tasked with popularizing skateboarding in the city.",Darren Martz,"Dante Basco, Chris Boykin, Chris Parry, Giovanni Reda",T
Alien Shooter,"Action, Adventure, Horror",68%,2003.0,Your mission is simple: clear the base at all costs. You will be provided with explosives to help you gain access to the teleports from where thousands of pitiless creatures pour.,unspecified,unspecified,M
Neptunia: Sisters VS Sisters,"Animation, Action, Sci-Fi",N/A%,2022.0,"With an outbreak going on and Neptune missing, it's up for Nepgear and the other CPU Candidates, who have been reawakened after an incident caused them to be put into cryostasis for two years, to stop the outbreak and find Neptune.","Hikaru Yasui, Grant George","Yui Horie, Eri Kitamura, Yui Ogura, Kaori Ishihara",unspecified
I Am Legend: Survival,"Action, Drama, Thriller",68%,2007.0,"An online, multiplayer first-person shooter that transports players into a over 60 acres of New York City, which has fallen into chaos because of virus that has turned most of humankind into the Infected.",unspecified,unspecified,unspecified
Batman: Arkham City Lockdown,"Action, Adventure, Crime",73%,2011.0,There is a big surprise for Gotham City it's up to The Dark Knight to stop it all.,Ed Boon,"Kevin Conroy, Mark Hamill, Tara Strong, Fred Tatasciore",unspecified
The Pathless,"Action, Adventure, Fantasy",79%,2020.0,"The game focuses on a lone hunter, marooned on an island. Right off the bat, the most immediate difference is the open-world nature of it, relative to the linearity of both",Matt Nava,"Laura Bailey, Troy Baker",T
Ape Escape 3,"Action, Adventure, Comedy",78%,2005.0,No information filled,"Yuzo Sugano, Naoto Ôta","Hope Levy, Anndi McAfee, Julie Nathanson, Amber Hood",E10+
Tyranny,"Action, Adventure, Fantasy",75%,2016.0,"In Tyranny, the grand war between good and evil is over - and the forces of evil, led by Kyros the Overlord, have won.",unspecified,"Valerie Arem, Ray Chase, Allegra Clark, D.C. Douglas",unspecified
Space Invaders,"Action, Sci-Fi",75%,1978.0,The object of the game is to shoot the alien invaders and keep them off the ground.,unspecified,unspecified,K-A
Medal of Honor: Vanguard,"Action, Adventure, War",72%,2007.0,"You are Cpl/Sgt. Keegan, a member of the 82nd Airborne Division, and 17th Airborne Division, fighting the forces of Germany and the Kingdom of Italy",unspecified,"Yuri Lowenthal, Peter Giles, Raphael Sbarge, John Cygan",T
Skate.,"Action, Adventure, Sport",77%,2007.0,Skateboarding game in which players can create a custom-design character and move it through the fictional town of San Vanelona to become a top skater.,"Scott Henshaw, Wayne Gilbert","Danny Way, Ali Boulala, Chris Boykin, Dennis Busenitz",T
Hajime no ippo: The Fighting,"Action, Sport",N/A%,2014.0,No information filled,unspecified,"Masaki Aizawa, Keiji Fujiwara, Takahiro Fujiwara, Jun Fukuyama",unspecified
Call of Duty: Black Ops - Declassified,"Action, Adventure, Thriller",46%,2012.0,Call of Duty: Black Ops Declassified covers the operations of Alex Mason and Frank Woods in between Call of Duty: Black Ops and Call of Duty: Black Ops 2. The years 1975 to 1979 specifically.,unspecified,"James C. Burns, Michael Donovan, James Horan, Christian Lanz",unspecified
.hack//G.U. Last Recode,"Animation, Action, Drama",76%,2017.0,No information filled,Hiroshi Matsuyama,"Yuri Lowenthal, Bridget Hoffman, Jamieson Price, Johnny Yong Bosch",T
Source of Madness,"Action, Adventure, Fantasy",N/A%,2022.0,Source of Madness is a side-scrolling dark action roguelite set in a twisted Lovecraftian inspired world powered by procedural generation and AI machine learning. Take on the role of a new Acolyte as they embark on a nightmarish odyssey.,unspecified,Matthew Curtis,T
Ground Zero Texas,"Action, Sci-Fi, Western",67%,1994.0,"A small desert town has been infiltrated by alien body snatchers. As the head of a special army surveillance team, help identify and take out the aliens. Some of them hold parts of the code that shows the location of their mothership.",Dwight H. Little,"Steve Eastin, Leslie Zemeckis, Scott Lawrence, Christopher Bradley",MA-13
The Legend of Zelda: Phantom Hourglass,"Action, Adventure, Fantasy",77%,2007.0,Link goes on another journey to save Tetra who was kidnapped.,Daiki Iwamoto,"Sachi Matsumoto, Hikari Tachibana, Kaori Mizuhashi",E
Final Fantasy V,"Action, Adventure, Fantasy",77%,1992.0,"When the magical crystals which keep the elements in balance begin to shatter unexpectedly, a ragtag group consisting of a wanderer, a princess, a pirate captain, and an amnesiac old man must band together to save the world.",unspecified,Hironobu Sakaguchi,T
Halo Wars 2: Awakening the Nightmare,"Action, Sci-Fi, War",71%,2017.0,Two brothers encounter the return of the Flood in this anticipated event of the Halo universe.,Alistair Hope,"Ashley Bagwell, T.J. Storm",T
Project I.G.I.: I'm Going In,"Action, Adventure",81%,2000.0,"David Jones is on a mission to capture Jack Priboi, a Russian arms dealer to uncover a nuclear threat being planned by a Russian leader.",unspecified,"Michael Ironside, Kerry Shale, Amanda Mealing, Danny McCall",unspecified
Kamen Rider: Dragon Knight,Action,%,2009.0,No information filled,unspecified,"Johnny Yong Bosch, Peter Doyle, Kaiji Tang, Sam Riegel",T
Star Wars: Rogue Squadron II - Rogue Leader,"Action, Adventure, Sci-Fi",79%,2001.0,Rebel Alliance pilots Skywalker and Antilles lead the squadron on a series of missions that ties in with the universe of the original Star Wars trilogy from the Death Star Trench Run to the Strike at the Core inside the Death Star II.,Julian Eggebrecht,"Denis Lawson, Bob Bergen, David Ian Davies, Peter McConnell",T
God of War: Betrayal,"Action, Fantasy, Adventure",69%,2007.0,"After his victory against Ares in the first game, Kratos now reveals in his newfound powers and leads his Spartan army through battles.",unspecified,unspecified,unspecified
